,_id,number,title,user_rating,user_votes
0,58f7f1f2c88a6543d2d949af,1.1,Simpsons Roasting on an Open Fire,8.2,3948
1,58f7f1f2c88a6543d2d949b0,1.2,Bart the Genius,7.8,2145
2,58f7f1f2c88a6543d2d949b1,1.3,Homer's Odyssey,7.5,1860
3,58f7f1f2c88a6543d2d949b2,1.4,There's No Disgrace Like Home,7.8,1849
4,58f7f1f2c88a6543d2d949b3,1.5,Bart the General,8.1,1880
5,58f7f1f2c88a6543d2d949b4,1.6,Moaning Lisa,7.6,1819
6,58f7f1f2c88a6543d2d949b5,1.7,The Call of the Simpsons,7.9,1771
7,58f7f1f2c88a6543d2d949b6,1.8,The Telltale Head,7.7,1716
8,58f7f1f2c88a6543d2d949b7,1.9,Life on the Fast Lane,7.5,1718
9,58f7f1f2c88a6543d2d949b8,1.1,Homer's Night Out,7.4,1646
10,58f7f1f2c88a6543d2d949b9,1.11,The Crepes of Wrath,7.8,1674
11,58f7f1f2c88a6543d2d949ba,1.12,Krusty Gets Busted,8.3,1860
12,58f7f1f2c88a6543d2d949bb,1.13,Some Enchanted Evening,7.9,1702
13,58f7f1f2c88a6543d2d949bc,2.1,Bart Gets an F,8.2,1796
14,58f7f1f2c88a6543d2d949bd,2.2,Simpson and Delilah,8.3,1741
15,58f7f1f2c88a6543d2d949be,2.3,Treehouse of Horror I,8.2,1957
16,58f7f1f2c88a6543d2d949bf,2.4,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,1595
17,58f7f1f2c88a6543d2d949c0,2.5,Dancin' Homer,7.5,1510
18,58f7f1f2c88a6543d2d949c1,2.6,Dead Putting Society,8.0,1497
19,58f7f1f2c88a6543d2d949c2,2.7,Bart vs. Thanksgiving,7.7,1448
20,58f7f1f2c88a6543d2d949c3,2.8,Bart the Daredevil,8.4,1661
21,58f7f1f2c88a6543d2d949c4,2.9,Itchy and Scratchy and Marge,8.1,1527
22,58f7f1f2c88a6543d2d949c5,2.1,Bart Gets Hit by a Car,7.8,1468
23,58f7f1f2c88a6543d2d949c6,2.11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,1846
24,58f7f1f2c88a6543d2d949c7,2.12,The Way We Was,8.2,1526
25,58f7f1f2c88a6543d2d949c8,2.13,Homer vs. Lisa and the 8th Commandment,8.0,1446
26,58f7f1f2c88a6543d2d949c9,2.14,Principal Charming,7.5,1354
27,58f7f1f2c88a6543d2d949ca,2.15,"Oh Brother, Where Art Thou?",8.2,1539
28,58f7f1f2c88a6543d2d949cb,2.16,Bart's Dog Gets an F,7.5,1375
29,58f7f1f2c88a6543d2d949cc,2.17,Old Money,7.6,1354
30,58f7f1f2c88a6543d2d949cd,2.18,Brush with Greatness,8.0,1364
31,58f7f1f2c88a6543d2d949ce,2.19,Lisa's Substitute,8.5,1829
32,58f7f1f2c88a6543d2d949cf,2.2,The War of the Simpsons,7.9,1356
33,58f7f1f2c88a6543d2d949d0,2.21,Three Men and a Comic Book,8.4,1510
34,58f7f1f2c88a6543d2d949d1,2.22,Blood Feud,8.0,1339
35,58f7f1f2c88a6543d2d949d2,3.1,Stark Raving Dad,8.6,1954
